Name,Slug,Collection ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Project Name,Project Description,Hero Image,Show Project,Sort Order,Featured,Commissioned by,Additional project images
2022 Cidermaking Handbook,2022-cidermaking-handbook,645eca4371e299c55dcf80d1,64639a1c3cf7845a5eeb80d4,false,false,Tue May 16 2023 14:58:36 GMT+0000 (Coordinated Universal Time),Tue May 16 2023 14:58:36 GMT+0000 (Coordinated Universal Time),Tue May 16 2023 19:46:28 GMT+0000 (Coordinated Universal Time),Premium Products for Cidermaking,,https://uploads-ssl.webflow.com/645eca43586c591cffa273fa/64639a0712edca6979fa3c8f_Scott%202022%20Cover%20WIP%201-02.webp,true,60,false,Illustrations,
2023 Winemaking Handbook Cover,2023-winemaking-handbook-cover,645eca4371e299c55dcf80d1,6462f200ff0a756789dfaa73,false,false,Tue May 16 2023 03:01:20 GMT+0000 (Coordinated Universal Time),Tue May 16 2023 03:01:20 GMT+0000 (Coordinated Universal Time),Tue May 16 2023 19:46:28 GMT+0000 (Coordinated Universal Time),Scott Laboratories 2023 Winemaking Handbook Cover,<p>White Rabbit contemplates the mysteries of winemaking.</p>,https://uploads-ssl.webflow.com/645eca43586c591cffa273fa/6462f17cd0c6476d78215a34_Scott%202023%20Cover%20Final%20Round%20Corners%20v2.webp,true,3,true,Illustrations,
Alan Just Self Portrait,alan-just-self-portrait,645eca4371e299c55dcf80d1,645eca4fba573d42a2d3a27e,false,false,Fri May 12 2023 23:22:55 GMT+0000 (Coordinated Universal Time),Thu May 25 2023 00:24:46 GMT+0000 (Coordinated Universal Time),Thu May 25 2023 00:25:57 GMT+0000 (Coordinated Universal Time),Alan Just Self Portrait,"<p id=""""><strong id="""">Oh, early days.</strong></p><p id="""">In the realm of self-expression, my self-portrait emerges as a humble testament, influenced by the creative spirits of Chuck Close and Robert Arneson. Chuck's intricate dance with scale and disposition, as well as Robert's vibrant interplay of color and whimsy, have shaped this visual tapestry.</p><p>Speaking of scale, this boy is big – 40in x 60in.</p><p id="""">‍</p>",https://uploads-ssl.webflow.com/645eca43586c591cffa273fa/6462b70771184d2966a81fb5_AJs%20Self%20Portrait.webp,true,1,false,Fine Art,
Anvil by Forgeron Cellars ,anvil-by-forgeron-cellars,645eca4371e299c55dcf80d1,6466c23aa6e9c651da5298a2,false,false,Fri May 19 2023 00:26:34 GMT+0000 (Coordinated Universal Time),Fri May 19 2023 00:27:30 GMT+0000 (Coordinated Universal Time),Fri May 19 2023 16:06:12 GMT+0000 (Coordinated Universal Time),Anvil by Forgeron Cellars ,"<p id="""">Anvil is a vanity wine priced at $40-$50 to showcase the skills and talent of Forgeron Cellar's winemaker, Marie-Eve Gilla.</p><p id="""">What is unique about the illustration is its modernization of a traditional 19th-century steel cut engraving style.</p><p id="""">My approach to design is to make the design sturdy, resistant to the rigors and inconsistencies of production. I like to use foil, hot stamping and embossing as well as most designers. I make sure the success of the design will survive their absence. </p><p>‍</p>",https://uploads-ssl.webflow.com/645eca43586c591cffa273fa/6466c235368a017da2fa4d44_Anvil%20Klipsun.webp,true,200,false,Wine Packaging,
Breyer's Gelato Style Ice Cream - Concepts,breyers-gelato-style-ice-cream-concepts,645eca4371e299c55dcf80d1,6463c9dbb66d5b6f510ff9e2,false,false,Tue May 16 2023 18:22:19 GMT+0000 (Coordinated Universal Time),Fri May 19 2023 00:23:31 GMT+0000 (Coordinated Universal Time),Fri May 19 2023 16:06:12 GMT+0000 (Coordinated Universal Time),Breyer's Gelato Style Ice Cream - Concepts,"<p id="""">I used to work at a large Midwest agency where I was assigned to manage the Breyer's Ice Cream account. My primary responsibility was to design seasonal flavor carton graphics for the brand. </p><p id="""">However, what I found most enjoyable was exploring their various ""concept"" offerings and visualizing how they would look on the shelves. It was a great opportunity to flex my creative muscles and come up with unique and eye-catching designs.</p><p id="""">Restaurants and specialty shops in larger, up-scale U.S. markets were serving the Italian–style ice cream, gelato, to an enthusiastic and rapidly growing market. I developed several soft-serve style ice cream design prototypes that leveraged Breyer's position as leader in the ""All Natural"" indulgent food category.</p><p>‍</p>",https://uploads-ssl.webflow.com/645eca43586c591cffa273fa/6463c76009f1e2c1327282b7_AJs%20Breyers%20Concepts%204up.webp,true,160,false,Agency,
Colt Premium Beer Identity,colt-premium-beer-identity,645eca4371e299c55dcf80d1,6466c54c54c9aa9dbe2e3da7,false,false,Fri May 19 2023 00:39:40 GMT+0000 (Coordinated Universal Time),Fri May 19 2023 00:39:52 GMT+0000 (Coordinated Universal Time),Fri May 19 2023 16:06:12 GMT+0000 (Coordinated Universal Time),Colt Premium Beer Identity,"<p id="""">Colt 45, a malt liquor, was a favorite beverage of young inner-city males. The goal was to create a product line extension of Colt 45 that would appeal to this upwardly mobile demographic as their tastes shifted more and more upscale.</p><p>‍</p>",https://uploads-ssl.webflow.com/645eca43586c591cffa273fa/6466c53b6185c9a556ecb05d_Colt%20Premium%203%20big%20copy.webp,true,220,false,Pabst,
Connie Portrait,connie-portrait,645eca4371e299c55dcf80d1,6462dc5344ea290c3b453cbf,false,false,Tue May 16 2023 01:28:51 GMT+0000 (Coordinated Universal Time),Tue May 16 2023 03:15:05 GMT+0000 (Coordinated Universal Time),Tue May 16 2023 19:46:28 GMT+0000 (Coordinated Universal Time),My Big Sister Connie,"<p id="""">This moment captures my sister the morning after her bridal shower. Yep, she's glowering at her little brother while he snaps a photo taken with an Argus C3 camera that he purchased from Roone Arlidge in 1963.</p>",https://uploads-ssl.webflow.com/645eca43586c591cffa273fa/6462dbb6442feb604f71a851_Connie%20Final.webp,true,20,true,Fine Art,https://uploads-ssl.webflow.com/645eca43586c591cffa273fa/6462dbc544ea290c3b44cc64_Connie%20Face%20BW%20final.webp
Harry & David Cocktail Mixers,harry-david-cocktail-mixers,645eca4371e299c55dcf80d1,6463ac9984372c71b471f865,false,false,Tue May 16 2023 16:17:29 GMT+0000 (Coordinated Universal Time),Tue May 16 2023 16:17:29 GMT+0000 (Coordinated Universal Time),Tue May 16 2023 19:46:28 GMT+0000 (Coordinated Universal Time),Harry & David Cocktail Mixers,<p>Delicious mixers</p>,https://uploads-ssl.webflow.com/645eca43586c591cffa273fa/6463abfc434f511e4a872858_19_a8801_RSM_01e%20copy%202.webp,true,100,false,Harry and David,https://uploads-ssl.webflow.com/645eca43586c591cffa273fa/6463ac75d8f5a0942b3f0aa8_19_33015_30W_01e%20copy%202.webp; https://uploads-ssl.webflow.com/645eca43586c591cffa273fa/6463ac754ef7311bf17df07b_19_33523_30W_01e%20copy%202.webp
Harry & David Gift Tower - Concept,harry-david-gift-tower-concept,645eca4371e299c55dcf80d1,6463b14afcd4dbe16224ec70,false,false,Tue May 16 2023 16:37:30 GMT+0000 (Coordinated Universal Time),Tue May 16 2023 16:38:27 GMT+0000 (Coordinated Universal Time),Tue May 16 2023 19:46:28 GMT+0000 (Coordinated Universal Time),,"<p id="""">This is one of several gift tower ides that where presented at design review.</p><p>‍</p>",https://uploads-ssl.webflow.com/645eca43586c591cffa273fa/6463afe4fa26b7e8ef2f980e_2021%20Holiday%20Towers%20and%20Tins%20copy.webp,true,130,false,Harry and David,https://uploads-ssl.webflow.com/645eca43586c591cffa273fa/6463b0095171db9a858ae56e_2021%20Holiday%20Towers%20and%20Tins-1.webp; https://uploads-ssl.webflow.com/645eca43586c591cffa273fa/6463b009502fd669eb93e75a_2021%20Painterly%20Holiday%20Cake%20Tin%20copy%202.webp; https://uploads-ssl.webflow.com/645eca43586c591cffa273fa/6463b009cdf43bde4c87a333_2021%20Painterly%20Holiday%20Davids%20Tower%20copy%202.webp
Java Jacket Logo,java-jacket-logo,645eca4371e299c55dcf80d1,6463a8bd90b9f64e167abae3,false,false,Tue May 16 2023 16:01:01 GMT+0000 (Coordinated Universal Time),Thu May 25 2023 00:29:00 GMT+0000 (Coordinated Universal Time),Thu May 25 2023 03:38:27 GMT+0000 (Coordinated Universal Time),Java Jacket Logo,"<p id=""""><strong>This is the most ubiquitous coffee sleeve protector in the business.</strong></p><p id="""">It is designed to provide a layer of protection for the hand holding the cup, preventing direct contact with the hot surface and reducing the risk of burns. The Java Jacket acts as a barrier, insulating the heat and improving grip, making it more comfortable to hold and carry hot drinks.</p>",https://uploads-ssl.webflow.com/645eca43586c591cffa273fa/6463a8a3fb6f675df8a35959_AJs%20Java%20Jacket.webp,true,90,false,Logos and Identities,
Lone Star Identity and Packaging,lone-star-beer-label-design,645eca4371e299c55dcf80d1,6463aef5401a64107c80e9a5,false,false,Tue May 16 2023 16:27:33 GMT+0000 (Coordinated Universal Time),Fri May 19 2023 00:32:50 GMT+0000 (Coordinated Universal Time),Fri May 19 2023 16:06:12 GMT+0000 (Coordinated Universal Time),Lone Star Beer Label and Packaging Rebrand Design,"<p id="""">Lone Star was a dying brand, and the goal of this redesign was to reverse that trend. The challenge was that the existing label was much loved, even by people who didn’t consume the beverage. In addition, it’s an icon of the state of Texas, and its citizens are very proud of it. I had to create a new look that wouldn’t alienate current consumers but that would also draw in new drinkers.</p><p id="""">Success. Sales increased 60% in the first full year after the new look was released due to increased retail support and stronger on-shelf presence.</p><p id=""""><em id="""">Effective—</em></p><p id="""">Increased net sales</p><p id="""">Additional demographic</p><p id=""""><em id="""">Efficient—</em></p><p id="""">Direct design lead</p><p id="""">Direct communication</p><p id="""">On time</p><p id="""">On budget</p><p id="""">13 SKUs</p><p id="""">8 weeks</p><p id="""">‍</p>",https://uploads-ssl.webflow.com/645eca43586c591cffa273fa/6463ae8f1f40c1f3e5a97b02_LSRbtl2%20copy.webp,true,120,false,Pabst,https://uploads-ssl.webflow.com/645eca43586c591cffa273fa/6463aec110dbe182cfe2b56b_LS%20Armadillo%20Tacker.webp; https://uploads-ssl.webflow.com/645eca43586c591cffa273fa/6463aec14ed1492211174057_LS%206pk-0700.webp; https://uploads-ssl.webflow.com/645eca43586c591cffa273fa/6463aec1cfb12579dabedf0b_LS%2012-12%20lgnk-0701b.webp; https://uploads-ssl.webflow.com/645eca43586c591cffa273fa/6463aec1374d4576a9c4b9e0_LS%2018pk-0700.webp; https://uploads-ssl.webflow.com/645eca43586c591cffa273fa/6463aec196b7d3c557422636_LS%20Armadillo%20Easel.webp; https://uploads-ssl.webflow.com/645eca43586c591cffa273fa/6463aee03d5c3fabac6b791d_LSRbtl2%20and%20basket%20copy.webp; https://uploads-ssl.webflow.com/645eca43586c591cffa273fa/6463aee0fcd4dbe1622289ca_LSR%2012oz%20can%20final.webp
Old Milwaukee Sweepstakes,old-milwaukee-sweepstakes,645eca4371e299c55dcf80d1,6466c7ecf48d1d20ebe2d621,false,false,Fri May 19 2023 00:50:52 GMT+0000 (Coordinated Universal Time),Fri May 19 2023 00:50:52 GMT+0000 (Coordinated Universal Time),Fri May 19 2023 00:50:52 GMT+0000 (Coordinated Universal Time),Old Milwaukee Sweepstakes,"<p id="""">Old Milwaukee was losing 8% market share per year as consumers were either dying off or switching to other liquors. The company wasn’t doing any marketing, and they hadn’t freshened their packaging graphics in years.</p><p id="""">The big idea behind this new campaign was to build awareness among males 21 - 25 with sweepstakes and promotions, the first of which was an all-expenses-paid trip for two to the Pro Bowl in Honolulu.</p><p id="""">To create shock value and take advantage of a fun play on words, I created this campaign that “vandalized” the brand name by replacing “waukee” with “waikiki”. Though many people in the industry though what I’d done to the brand was despicable, this packaging nevertheless went on to win an award.</p><p id="""">The eye-grabbing image of a football crashing through the packaging was used as the central icon on all of the point-of-sale promotion items.</p><p id="""">Thanks to this promotion, Old Milwaukee reversed its trend, increasing sales by 4%.</p><p>‍</p>",https://uploads-ssl.webflow.com/645eca43586c591cffa273fa/6466c7e390eac6bcd037b1fa_OM%20waikiki%20ftbl%2012-12-0701.webp,true,240,false,Pabst,
Old Style Beer Cubs Ivy Can,old-style-beer-cubs-ivy-can,645eca4371e299c55dcf80d1,6466c5fd2d9c228972d150ae,false,false,Fri May 19 2023 00:42:37 GMT+0000 (Coordinated Universal Time),Fri May 19 2023 00:42:45 GMT+0000 (Coordinated Universal Time),Fri May 19 2023 16:06:12 GMT+0000 (Coordinated Universal Time),Old Style Beer Cubs Ivy Can,"<p id="""">Old Style commemorated their 50 year partnership with the Chicago Cubs and Wrigley Field. This package was sold exclusively during one season at the ballpark. As Wrigley Field is known for the ivy on its brick outfield walls, this can was a big hit with fans.</p>",https://uploads-ssl.webflow.com/645eca43586c591cffa273fa/6466c5f3a5a979f2e3abd4b7_OS%20Cubs%20Ivy%20Can%20copy.webp,true,230,false,Pabst,
Pabst Blue Ribbon Light,pabst-blue-ribbon-light,645eca4371e299c55dcf80d1,6462f4df87fffe29c1b832e0,false,false,Tue May 16 2023 03:13:35 GMT+0000 (Coordinated Universal Time),Thu May 18 2023 18:05:02 GMT+0000 (Coordinated Universal Time),Fri May 19 2023 16:06:12 GMT+0000 (Coordinated Universal Time),PBR Light Bottle and Can Packaging ,"<p id="""">Pabst was keen on expanding its share of female drinkers, which trended towards light and low calorie alcoholic beverages. The success that Pabst was having with its legacy Pabst Blue Ribbon workhorse among educated male twenty and thirty-something males forecasted an opportunity with that group’s female population.</p><p id="""">I’d just returned from the UK where, at that time, they were using transparent ink on metal cans. US can printers had never used transparent inks. I thought it had a great look, one that communicated premium and female—especially if adorned in the traditional blue hues of premium light beer. With the delicate design elements cuing upscale and feminine, it was guaranteed to connect. Pabst loved it.</p><p>Lots of SKUs—labels and packaging design for bottles, cans, baskets, racks, etc.</p>",https://uploads-ssl.webflow.com/645eca43586c591cffa273fa/6462f49746bbe6989b63a39e_PBR%20Light.webp,true,10,true,Pabst,https://uploads-ssl.webflow.com/645eca43586c591cffa273fa/6462f4cf50ab82f2d96379b5_PBR%20Alt%20Light%2012c%202500.webp; https://uploads-ssl.webflow.com/645eca43586c591cffa273fa/6462f4cfcf7f6bf9f54fe5ec_PBR%20Light%20ctn%20copy.webp
Paul Missal Portrait,paul-missal-portrait,645eca4371e299c55dcf80d1,6463b4ff93ff840c608cf39a,false,false,Tue May 16 2023 16:53:19 GMT+0000 (Coordinated Universal Time),Tue May 16 2023 16:53:19 GMT+0000 (Coordinated Universal Time),Tue May 16 2023 19:46:28 GMT+0000 (Coordinated Universal Time),Paul Missal Portrait,"<p id="""">Paul Missal was my main influence in art school. Lovely man.</p><p id="""">I painted this just for fun.</p>",https://uploads-ssl.webflow.com/645eca43586c591cffa273fa/6463b4f149884f5193ffd2ae_Paul%20Missal%20Art.webp,true,140,false,Fine Art,
PBR Light - Concept,pbr-light-concept,645eca4371e299c55dcf80d1,6463b6878e7f33ec4e0e0e21,false,false,Tue May 16 2023 16:59:51 GMT+0000 (Coordinated Universal Time),Fri May 19 2023 00:22:31 GMT+0000 (Coordinated Universal Time),Fri May 19 2023 16:06:12 GMT+0000 (Coordinated Universal Time),PBR Light - Concept for Rebrand,"<p id="""">During the development of PBR Light I explored and presented well over 100 designs. This is my favorite alternate.</p><p id="""">‍</p>",https://uploads-ssl.webflow.com/645eca43586c591cffa273fa/6462f4cf50ab82f2d96379b5_PBR%20Alt%20Light%2012c%202500.webp,true,150,false,Pabst,
Pete's Head,petes-head,645eca4371e299c55dcf80d1,6462f928cc057db29209dacd,false,false,Tue May 16 2023 03:31:52 GMT+0000 (Coordinated Universal Time),Tue May 16 2023 03:31:52 GMT+0000 (Coordinated Universal Time),Tue May 16 2023 19:46:28 GMT+0000 (Coordinated Universal Time),Portrait of Pete Ihrig,"<p>Everything I do tends to be proof of concept. This piece is no exception. </p><p>Acrylic, &nbsp;60"" x 40"".</p><p>It's constructed with black diner vinyl, wood, and sculpted cushion foam.</p>",https://uploads-ssl.webflow.com/645eca43586c591cffa273fa/6462f900becdbd5e3ecab2c2_Petey-091214.webp,true,40,false,Fine Art,https://uploads-ssl.webflow.com/645eca43586c591cffa273fa/6462f90cd0c6476d78289136_Petey%209.webp
PetSmart Gift Card & Carrier Sets,petsmart-gift-card-carrier-sets,645eca4371e299c55dcf80d1,6466be3bf16bc2634c0267e3,false,false,Fri May 19 2023 00:09:31 GMT+0000 (Coordinated Universal Time),Fri May 19 2023 00:10:10 GMT+0000 (Coordinated Universal Time),Fri May 19 2023 16:06:12 GMT+0000 (Coordinated Universal Time),PetSmart Gift Card & Carrier Sets,"<p id="""">PetSmart generates over $90 million annually in offsite gift card sales.</p><p id="""">The ""Joy Fish"" set on the far left was PetSmart Canada's top Holiday seller. </p><p id="""">The objective was to raise awareness and increase sales in the small animal/specialty pet category.</p>",https://uploads-ssl.webflow.com/645eca43586c591cffa273fa/6466be1662446636b99d5ebe_Chrismas%20Gift%20Cards.webp,true,170,false,Petsmart,
Petsmart's Simply Nourish SOURCE Petfood Packaging,petsmarts-simply-nourish-source-petfood-packaging,645eca4371e299c55dcf80d1,64639c919fd79c6561af4f66,false,false,Tue May 16 2023 15:09:05 GMT+0000 (Coordinated Universal Time),Fri May 19 2023 00:29:16 GMT+0000 (Coordinated Universal Time),Fri May 19 2023 16:06:12 GMT+0000 (Coordinated Universal Time),Petsmart's Simply Nourish SOURCE Petfood Packaging,"<p id="""">PetSmart's new super-premium entry offers trend-sensitive pet owners a convenient source that simulates the prototypical diet. </p><p id="""">The design directive was to reassure the shopper of its value, differentiate the product from the category leader while supporting its premium price position.</p>",https://uploads-ssl.webflow.com/645eca43586c591cffa273fa/64639c2ac21f9fc5ac21985c_SN%20Source%202500%20copy.webp,true,70,false,Petsmart,
Scott Lab Fermentation 2009 Handbook,scott-lab-fermentation-2009-handbook,645eca4371e299c55dcf80d1,6466c4d3f16bc2634c08b447,false,false,Fri May 19 2023 00:37:39 GMT+0000 (Coordinated Universal Time),Fri May 19 2023 00:37:47 GMT+0000 (Coordinated Universal Time),Fri May 19 2023 16:06:12 GMT+0000 (Coordinated Universal Time),Scott Lab Fermentation 2009 Handbook,"<p id="""">Think of the effect that the Sports Illustrated Swimsuit Issue has on its audience and you can begin to understand how winemakers across the country feel when their copy of this handbook arrives. Fantasy and possibility—the secret for making the world’s next great wine lies somewhere between these covers.</p><p id="""">The 2009 handbook design delivers the message that what's offered inside will empower the winemaker to create wines of unsurpassed aroma and flavor.</p><p>‍</p>",https://uploads-ssl.webflow.com/645eca43586c591cffa273fa/6466c4cfda54ea9c0d57e607_Scott%202009%20HB%20All2.webp,true,210,false,Scott Labs,
Scott Lab Fermentation Handbook Celebrating 75 Years of Character,scott-lab-fermentation-handbook-celebrating-75-years-of-character,645eca4371e299c55dcf80d1,6466bf8e0d66ffbd5a16de8c,false,false,Fri May 19 2023 00:15:10 GMT+0000 (Coordinated Universal Time),Fri May 19 2023 00:15:39 GMT+0000 (Coordinated Universal Time),Fri May 19 2023 16:06:12 GMT+0000 (Coordinated Universal Time),Scott Lab Fermentation Handbook Celebrating 75 Years of Character,"<p id="""">I developed the design and illustration as tongue-in-cheek metaphors of commonly used wine descriptors often read on the back of wine labels.</p>",https://uploads-ssl.webflow.com/645eca43586c591cffa273fa/6466bf76da54ea9c0d53011c_Scott%2008%202500.webp,true,180,false,Scott Labs,
Scott Lab Fermentation Handbook the Game Of Wine,scott-lab-fermentation-handbook-the-game-of-wine,645eca4371e299c55dcf80d1,6466c0ca1b25ca3894160ac5,false,false,Fri May 19 2023 00:20:26 GMT+0000 (Coordinated Universal Time),Fri May 19 2023 00:21:12 GMT+0000 (Coordinated Universal Time),Fri May 19 2023 16:06:12 GMT+0000 (Coordinated Universal Time),Scott Lab Fermentation Handbook the Game Of Wine,"<p id="""">This is another example of Scott Lab's highly technical fermentation catalog where I use art and design to engage an audience that is in the very-serious-business of wine making.</p><p>‍</p>",https://uploads-ssl.webflow.com/645eca43586c591cffa273fa/6466c09c0e2a873147f751d0_Scott%2007%202500.webp,true,190,false,Scott Labs,
Tempus Cellars Wine Labels,tempus-cellars-wine-labels,645eca4371e299c55dcf80d1,6462f66bee62367430d9e040,false,false,Tue May 16 2023 03:20:11 GMT+0000 (Coordinated Universal Time),Fri May 19 2023 00:34:13 GMT+0000 (Coordinated Universal Time),Fri May 19 2023 00:34:13 GMT+0000 (Coordinated Universal Time),Tempus Cellars Wine Labels,"<p id="""">This is Joe and Molly's first vintage. The tortoise on the label tells the story of Joe's painstaking attention and persistence in producing one of Washington states finer offerings.</p><p id="""">The label is designed to communicate, at shelf, the wine's value relative to its thirty-dollar price.</p>",https://uploads-ssl.webflow.com/645eca43586c591cffa273fa/6462f610ff0a756789e377fd_Tempus%20Red%20and%20Syrah%2006.webp,true,30,true,Wine Packaging,https://uploads-ssl.webflow.com/645eca43586c591cffa273fa/6462f63950ab82f2d9651c4b_Whole%20Lineup.webp; https://uploads-ssl.webflow.com/645eca43586c591cffa273fa/6462f649c31920b376bf5d12_Large%20Format.webp
Waldeaux Smithie & Waldette Wine Labels,waldeaux-smithie-waldette-wine-labels,645eca4371e299c55dcf80d1,6463a063c0d420bb36f3ed4f,false,false,Tue May 16 2023 15:25:23 GMT+0000 (Coordinated Universal Time),Fri May 19 2023 00:35:15 GMT+0000 (Coordinated Universal Time),Fri May 19 2023 00:35:15 GMT+0000 (Coordinated Universal Time),Forgeron Cellars Table Red and White Wine Labels,"<p id="""">Walldeaux Smithie and Walldette had to clearly communicate their value in the ten to 20 dollar red wine and white wine category. </p><p id="""">The bold illustration style speaks to Walldeaux Smithie's and Walldette's wild west sensibilities and french background. While leveraging the reputation of the parent winery—Forgeron Cellars—Walldeaux's compact good looks and Walldette's coquettish charm, establishes their own distinct identity.</p>",https://uploads-ssl.webflow.com/645eca43586c591cffa273fa/6463a050c21f9fc5ac261a6e_Walldeaux%20and%20Walldette%202500.webp,true,80,false,Wine Packaging,
"Wolferman's ""Be Merry"" Gift Tin",wolfermans-be-merry-gift-tin,645eca4371e299c55dcf80d1,6462fa3dcc057db2920aee4f,false,false,Tue May 16 2023 03:36:29 GMT+0000 (Coordinated Universal Time),Tue May 16 2023 03:36:29 GMT+0000 (Coordinated Universal Time),Tue May 16 2023 19:46:28 GMT+0000 (Coordinated Universal Time),"Wolferman's ""Be Merry"" Gift Tin","<p id="""">One of meany gift SKUs I created for Wolferman's Bakery</p>",https://uploads-ssl.webflow.com/645eca43586c591cffa273fa/6462f9a944ea290c3b63a063_20_51750_61K_02e%20copy%202.webp,true,50,false,Harry and David,https://uploads-ssl.webflow.com/645eca43586c591cffa273fa/6462f9f8ee62367430ddfa42_20_51746_61K_01e%20copy%202.webp; https://uploads-ssl.webflow.com/645eca43586c591cffa273fa/6462f9f86afc95b84aa13ff5_20_51681_61K_02e%20copy%202.webp; https://uploads-ssl.webflow.com/645eca43586c591cffa273fa/6462f9f8b518709fa4180714_20_51678_61K_01e%20copy%202.webp; https://uploads-ssl.webflow.com/645eca43586c591cffa273fa/6462f9f850ab82f2d968e18e_20_50563_61K_01e%20(1)%20copy%202.webp
Wolferman's Holiday Tote and Muffin Labels,wolfermans-holiday-tote-and-muffin-labels,645eca4371e299c55dcf80d1,6463adc5434f511e4a88e555,false,false,Tue May 16 2023 16:22:29 GMT+0000 (Coordinated Universal Time),Tue May 16 2023 16:22:29 GMT+0000 (Coordinated Universal Time),Tue May 16 2023 19:46:28 GMT+0000 (Coordinated Universal Time),Wolferman's Holiday Tote and Muffin Labels,<p>I created the muffin bag labels.</p><p>Also featured is the tote holidy design.</p>,https://uploads-ssl.webflow.com/645eca43586c591cffa273fa/6462f9f850ab82f2d968e18e_20_50563_61K_01e%20(1)%20copy%202.webp,true,110,false,Harry and David,
